PRISM Time Series Data
Locations: 74
"Climate variables: ppt,tmin,tmax"
Spatial resolution: 4km
Period: 2004-01-01 - 2004-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2022-Jan-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmax (degrees C)
USC00208202,-84.1108,42.0283,300,2004-01-01,0.00,-7.1,8.1
USC00208202,-84.1108,42.0283,300,2004-01-02,5.39,-6.6,7.0
USC00208202,-84.1108,42.0283,300,2004-01-03,0.01,4.8,14.0
USC00208202,-84.1108,42.0283,300,2004-01-04,0.61,-1.1,10.7
USC00208202,-84.1108,42.0283,300,2004-01-05,7.13,-3.9,0.0
USC00208202,-84.1108,42.0283,300,2004-01-06,0.47,-12.8,-2.3
USC00208202,-84.1108,42.0283,300,2004-01-07,0.00,-14.0,-11.5
USC00208202,-84.1108,42.0283,300,2004-01-08,0.00,-14.9,-5.7
USC00208202,-84.1108,42.0283,300,2004-01-09,0.00,-12.9,-3.3
USC00208202,-84.1108,42.0283,300,2004-01-10,0.00,-18.2,-7.4
USC00208202,-84.1108,42.0283,300,2004-01-11,0.00,-16.5,-4.8
USC00208202,-84.1108,42.0283,300,2004-01-12,0.00,-4.3,3.2
USC00208202,-84.1108,42.0283,300,2004-01-13,0.00,-2.2,1.7
USC00208202,-84.1108,42.0283,300,2004-01-14,0.00,-10.2,-0.2
USC00208202,-84.1108,42.0283,300,2004-01-15,3.58,-15.0,-3.1
USC00208202,-84.1108,42.0283,300,2004-01-16,0.00,-15.0,-9.5
USC00208202,-84.1108,42.0283,300,2004-01-17,0.00,-14.5,-7.4
USC00208202,-84.1108,42.0283,300,2004-01-18,2.28,-8.3,-0.5
USC00208202,-84.1108,42.0283,300,2004-01-19,0.00,-11.1,-4.5
USC00208202,-84.1108,42.0283,300,2004-01-20,0.00,-17.7,-6.7
USC00208202,-84.1108,42.0283,300,2004-01-21,0.00,-18.0,-6.9
USC00208202,-84.1108,42.0283,300,2004-01-22,0.00,-15.7,0.4
USC00208202,-84.1108,42.0283,300,2004-01-23,0.00,-19.3,-9.6
USC00208202,-84.1108,42.0283,300,2004-01-24,4.33,-15.8,-11.0
USC00208202,-84.1108,42.0283,300,2004-01-25,0.00,-22.2,-8.5
USC00208202,-84.1108,42.0283,300,2004-01-26,0.31,-17.8,-8.1
